legajo,actual,nuevo_base,nuevo_ajustado,bultos,horas,dias,sector,diff_base,pct_base,diff_aj,pct_aj,bph,grupo,equiv
207712,280665.42,266674.41,290647.57,27298.0,214.0,27,B1,-13991.01000000001,-4.984942569697404,9982.150000000023,3.556601308419122,127.5607476635514,SECOS + NOA,1.0
207731,628230.16,400963.76,437181.14,33261.0,213.0,27,B1,-227266.40000000002,-36.17565893366215,-191049.02000000002,-30.410673056511644,156.1549295774648,SECOS + NOA,1.0
207735,512009.32,373439.65,373439.65,32709.0,229.0,28,B1,-138569.66999999998,-27.063896024392676,-138569.66999999998,-27.063896024392676,142.83406113537117,SECOS + NOA,1.0
208333,775332.33,427115.08,477014.42,35618.0,210.0,27,B1,-348217.24999999994,-44.911999219741034,-298317.91,-38.476134485453485,169.6095238095238,SECOS + NOA,1.0
208334,435960.61,289499.26,311834.3,26717.0,187.0,25,B1,-146461.34999999998,-33.59508786814478,-124126.31,-28.471909423193072,142.8716577540107,SECOS + NOA,1.0
208361,0.0,0.0,0.0,0.0,3.0,2,VE,0.0,,0.0,,0.0,OTRAS CAMARAS,1.0
208363,546840.52,372795.65,398300.29,33178.0,224.0,28,B1,-174044.87,-31.827354344553687,-148540.23000000004,-27.163354683372777,148.11607142857142,SECOS + NOA,1.0
208364,231719.23,176182.54,191130.2,23682.0,183.0,26,F1,-55536.69,-23.96723396672775,-40589.03,-17.516470255835046,129.40983606557376,OTRAS CAMARAS,1.0
208365,461419.81,267337.18,292280.9,24598.0,173.0,22,B1,-194082.63,-42.06204974164417,-169138.90999999997,-36.656187344882305,142.1849710982659,SECOS + NOA,1.0
208373,462401.74,303693.88,332643.56,30830.0,215.0,28,B1,-158707.86,-34.32250492829028,-129758.18,-28.061784542592765,143.3953488372093,SECOS + NOA,1.0
208374,611790.34,387779.12,403387.76,33369.0,211.0,27,B1,-224011.21999999997,-36.61568438625559,-208402.57999999996,-34.06437898316603,158.14691943127963,SECOS + NOA,1.0
208575,139713.37,112152.49,125902.33,14397.0,125.0,20,F1,-27560.87999999999,-19.726730519777735,-13811.039999999994,-9.885267243929478,115.176,OTRAS CAMARAS,1.0
208576,346816.53,139313.41,159190.63,17727.0,175.0,21,AM,-207503.12000000002,-59.830804489047864,-187625.90000000002,-54.099468672960896,101.29714285714286,SECOS + NOA,1.1
208577,229007.36,124651.43,136092.03,15968.0,173.0,21,AM,-104355.93,-45.56881053953899,-92915.32999999999,-40.57307590463468,92.30057803468208,SECOS + NOA,1.1
208623,333680.81,105154.42,105154.42,16828.0,167.0,20,AM,-228526.39,-68.48652459216939,-228526.39,-68.48652459216939,100.76646706586827,SECOS + NOA,1.1
208706,81371.39,56458.56,56458.56,4823.0,35.0,4,B1,-24912.83,-30.616203065967046,-24912.83,-30.616203065967046,137.8,SECOS + NOA,1.0
208708,68841.66,47886.04,47886.04,5866.0,43.0,5,B1,-20955.620000000003,-30.440317679730562,-20955.620000000003,-30.440317679730562,136.41860465116278,SECOS + NOA,1.0
208709,89549.16,76112.76,76112.76,6379.0,44.0,5,B3,-13436.400000000009,-15.004495854567491,-13436.400000000009,-15.004495854567491,144.97727272727272,SECOS + NOA,0.85
208710,76538.54000000001,61755.259999999995,61755.259999999995,5962.0,43.0,5,B1,-14783.280000000013,-19.314818390839452,-14783.280000000013,-19.314818390839452,138.65116279069767,SECOS + NOA,1.0
208807,87471.76,51141.87,51141.87,5657.0,44.0,5,B1,-36329.88999999999,-41.53327885479839,-36329.88999999999,-41.53327885479839,128.5681818181818,SECOS + NOA,1.0
208808,27820.809999999998,44380.44,44380.44,4851.0,41.0,5,B1,16559.630000000005,59.52245818867246,16559.630000000005,59.52245818867246,118.3170731707317,SECOS + NOA,1.0
